iter	Passed	Remaining
0	0	679
1	1	589
2	1	597
3	3	770
4	4	859
5	5	846
6	5	822
7	6	802
8	7	801
9	8	815
10	8	794
11	9	778
12	10	778
13	10	756
14	11	737
15	12	738
16	14	835
17	15	827
18	15	813
19	16	826
20	18	845
21	22	986
22	23	1001
23	24	993
24	25	981
25	25	965
26	26	954
27	27	940
28	27	924
29	28	923
30	29	909
31	29	897
32	30	884
33	30	873
34	31	860
35	31	855
36	32	845
37	33	843
38	33	835
39	34	829
40	35	821
41	35	814
42	36	806
43	36	801
44	37	804
45	38	800
46	39	805
47	40	798
48	40	791
49	41	783
50	41	776
51	42	768
52	44	789
53	44	783
54	45	781
55	46	778
56	46	772
57	47	765
58	47	759
59	48	760
60	49	755
61	49	748
62	49	741
63	50	736
64	50	730
65	51	726
66	51	723
67	52	720
68	53	724
69	54	719
70	54	713
71	54	708
72	55	703
73	55	698
74	56	693
75	56	691
76	57	690
77	58	689
78	59	687
79	59	684
80	60	682
81	60	679
82	61	676
83	61	675
84	63	679
85	63	677
86	64	674
87	64	672
88	65	671
89	66	670
90	66	668
91	67	668
92	68	665
93	68	662
94	69	658
95	69	655
96	69	651
97	70	647
98	70	643
99	71	640
100	71	637
101	72	634
102	72	632
103	73	634
104	74	633
105	74	630
106	75	629
107	75	627
108	76	624
109	76	622
110	77	620
111	78	619
112	78	618
113	79	616
114	79	613
115	80	610
116	80	607
117	81	610
118	82	613
119	83	614
120	84	613
121	84	611
122	85	609
123	86	611
124	87	609
125	87	607
126	88	605
127	89	606
128	89	604
129	90	602
130	90	600
131	90	598
132	91	595
133	91	593
134	92	595
135	93	593
136	94	592
137	94	590
138	95	589
139	95	587
140	96	585
141	96	582
142	97	581
143	97	580
144	98	579
145	98	577
146	99	575
147	99	573
148	100	571
149	100	570
150	101	568
151	101	566
152	104	575
153	104	574
154	105	572
155	105	571
156	106	569
157	106	567
158	107	566
159	107	566
160	108	563
161	108	562
162	109	560
163	109	558
164	110	556
165	110	555
166	111	553
167	111	552
168	112	551
169	112	550
170	113	548
171	113	547
172	114	545
173	114	544
174	115	542
175	115	541
176	116	539
177	116	537
178	117	536
179	117	535
180	117	533
181	118	532
182	118	530
183	119	529
184	119	527
185	120	525
186	120	524
187	121	523
188	121	521
189	122	524
190	123	522
191	123	521
192	124	520
193	124	518
194	125	517
195	125	515
196	126	514
197	126	512
198	127	512
199	127	511
200	128	509
201	128	508
202	129	507
203	129	506
204	130	504
205	130	504
206	131	503
207	132	506
208	134	510
209	135	509
210	135	508
211	136	507
212	137	509
213	138	508
214	138	507
215	139	505
216	139	504
217	140	502
218	140	501
219	141	500
220	141	498
221	141	497
222	142	497
223	143	496
224	143	495
225	144	493
226	144	492
227	144	490
228	145	489
229	145	488
230	146	486
231	146	485
232	147	485
233	147	484
234	148	483
235	148	481
236	149	480
237	149	478
238	149	477
239	150	476
240	150	475
241	151	474
242	151	472
243	152	472
244	152	470
245	153	469
246	153	468
247	154	467
248	154	465
249	154	464
250	155	463
251	155	461
252	155	460
253	156	459
254	156	457
255	157	457
256	157	456
257	158	455
258	158	453
259	159	452
260	159	451
261	159	450
262	160	449
263	160	447
264	161	446
265	161	445
266	162	445
267	163	445
268	163	444
269	164	443
270	164	442
271	165	441
272	165	440
273	165	439
274	166	438
275	166	437
276	167	436
277	167	435
278	168	434
279	168	433
280	169	432
281	169	431
282	169	430
283	170	429
284	170	427
285	170	426
286	171	425
287	171	425
288	172	424
289	172	423
290	173	422
291	173	421
292	174	420
293	174	419
294	175	418
295	175	417
296	175	416
297	176	415
298	176	414
299	177	413
300	177	412
301	178	411
302	178	411
303	179	410
304	179	408
305	179	407
306	180	406
307	180	405
308	181	404
309	181	403
310	182	403
311	182	402
312	183	401
313	183	401
314	184	400
315	184	399
316	184	398
317	185	397
318	185	396
319	186	395
320	187	395
321	187	395
322	188	394
323	188	393
324	189	392
325	189	392
326	190	391
327	190	390
328	190	389
329	191	388
330	192	388
331	192	388
